region,date,Tracker (yoy),Low (yoy),High (yoy),ISO3
Sweden,2019-01-27,1.6130320159250409,-0.5063778887046552,3.5697951399743024,SWE
Sweden,2019-02-03,2.3056080266868397,0.1410686416291217,4.576265244250095,SWE
Sweden,2019-02-10,2.789259630374009,0.9817682708891433,4.72873285453512,SWE
Sweden,2019-02-17,2.7660054608050944,1.1052827336335613,4.382240134991408,SWE
Sweden,2019-02-24,3.294868885756419,1.2261440788986384,5.272238335299377,SWE
Sweden,2019-03-03,2.8285093383746904,0.9326195467976125,4.624951283990345,SWE
Sweden,2019-03-10,3.318836183775307,1.8291736823019993,5.088572885150408,SWE
Sweden,2019-03-17,3.152629133476598,1.6857910751490033,5.060586329844804,SWE
Sweden,2019-03-24,2.461912687463213,0.044168670227040296,4.9414381498212645,SWE
Sweden,2019-03-31,2.679423507853387,-0.04116389383449198,5.331375454689969,SWE
Sweden,2019-04-07,2.376384238578157,0.5678895753872677,4.1570102284379145,SWE
Sweden,2019-04-14,2.54573325026775,0.6138349709460778,4.471658744279601,SWE
Sweden,2019-04-21,2.600052115816962,0.7045108174231585,4.635434854849255,SWE
Sweden,2019-04-28,2.257270345555554,0.8349005950856307,3.7248825475509735,SWE
Sweden,2019-05-05,3.010605279732667,1.4496155271164897,4.688016365925865,SWE
Sweden,2019-05-12,2.8953041868386347,0.9420330696802771,4.742081374134216,SWE
Sweden,2019-05-19,2.130838022333749,0.4002072888205949,3.7047035461426066,SWE
Sweden,2019-05-26,2.3136345733247365,0.7250303078496622,4.252664389418728,SWE
Sweden,2019-06-02,2.0437339854195513,0.06553461734910104,4.119616758618141,SWE
Sweden,2019-06-09,2.101470218881471,0.22967361406510445,3.736582958436183,SWE
Sweden,2019-06-16,1.4629753844602404,-0.27317148156391924,3.326219967708185,SWE
Sweden,2019-06-23,0.8904427295797359,-0.9436884941225163,2.9603614295760132,SWE
Sweden,2019-06-30,1.166747873079418,-0.53687580266164,2.9876358998131174,SWE
Sweden,2019-07-07,1.6392058783656351,-0.4445792607787903,3.7013626093679224,SWE
Sweden,2019-07-14,2.5287533866423644,0.434806049242595,4.806129533781974,SWE
Sweden,2019-07-21,2.684897833566274,0.9478662378185707,4.8865110392935165,SWE
Sweden,2019-07-28,2.5887175418598316,0.7243687516094309,4.516795850099405,SWE
Sweden,2019-08-04,2.7762299516760267,1.055698802402356,4.35411323038813,SWE
Sweden,2019-08-11,2.519655811729195,0.9847699094816886,3.976191954027262,SWE
Sweden,2019-08-18,2.076029036488789,-0.029746158577127424,4.337302832311389,SWE
Sweden,2019-08-25,2.2148607613487727,-0.5070784533508125,4.9953631011680315,SWE
Sweden,2019-09-01,2.9362281146649964,0.22817392158695254,5.416464491832349,SWE
Sweden,2019-09-08,3.9668747937937394,1.5307591300029524,6.289729927961909,SWE
Sweden,2019-09-15,3.5622907580656227,1.7733763950879107,5.632300427461393,SWE
Sweden,2019-09-22,2.4111566943072984,0.7065582719332214,4.1958567209070345,SWE
Sweden,2019-09-29,2.488692136277384,0.7113721144015285,4.106120044429979,SWE
Sweden,2019-10-06,2.5850919448700034,1.2342120000369543,4.232038842652208,SWE
Sweden,2019-10-13,1.7642684937166093,0.26646295937093356,3.397792853633378,SWE
Sweden,2019-10-20,1.507997003583903,-0.008337104298653808,3.188859598937995,SWE
