region,date,Tracker (yoy),Low (yoy),High (yoy),ISO3,Tracker (yo2y),Low (yo2y),High (yo2y),Tracker (counterfactual),Low (counterfactual),High (counterfactual)
Argentina,2021-04-04,26.025680707849535,15.891582428757209,34.966233121158545,ARG,-2.43589153851571,-5.384143869965284,0.08388839021854315,-0.8463747030537538,-3.84266003341992,1.714457541758008
Argentina,2021-04-11,25.386485184239003,15.897687255084083,33.66893484805179,ARG,-0.9888172969422128,-4.471546053390796,2.930878417114261,0.6242753073697482,-2.915194150951883,4.607830799633894
Argentina,2021-04-18,22.984005503330067,15.534042600019234,29.03838570482263,ARG,-1.914755399945407,-6.249136119390077,2.642412562807885,-0.3167482017989776,-4.72174475767676,4.314665252591077
Argentina,2021-04-25,18.58052559215981,12.04671869575815,23.23209527441875,ARG,-3.43790928338089,-7.461347247234708,1.189446178390407,-1.864717345465894,-5.953705258792241,2.838027104388607
Argentina,2021-05-02,19.36160450838897,12.624964901245942,25.508992819279307,ARG,-4.112717431713527,-7.354882974916895,-0.4954656728429386,-2.55051948461541,-5.845506467952277,1.125664628165834
Argentina,2021-05-09,15.960626762431803,10.528730653607475,21.07813543273867,ARG,-5.752462271905672,-9.514587170290243,-2.609312741189104,-4.216979087751094,-8.040396616769952,-1.022621288192305
Argentina,2021-05-16,14.202749055863396,7.739713383412592,18.572523011159696,ARG,-5.458420967096581,-10.11839125105422,-1.467011440122799,-3.918147254829918,-8.654037888349574,0.1382904135412977
Argentina,2021-05-23,10.651887078617143,4.958136387400273,15.890900607059335,ARG,-9.999500743274108,-14.75223330455734,-5.310428356652732,-8.53321041351599,-13.36337460964667,-3.767743545165936
Argentina,2021-05-30,11.637635756058913,5.657014661719,16.514810929760888,ARG,-7.600802747352214,-11.73499899771111,-4.500730817134833,-6.095432771320153,-10.29698344785764,-2.9448543935789
Argentina,2021-06-06,11.938803077282314,5.966659746251368,16.764790514783424,ARG,-4.452636543727531,-7.992480353425348,-1.163846575593046,-2.895976567095815,-6.493491598507728,0.4463944474407011
Argentina,2021-06-13,11.217352339717234,6.165042407370996,16.45971208468378,ARG,-2.916045493200728,-5.63655927308814,0.7513245362126681,-1.334351337683481,-4.099187794448977,2.392767573727062
Argentina,2021-06-20,11.945170769491146,5.802620657779688,17.338406797639585,ARG,-3.271527155824091,-6.698522765462108,-0.4252485406092054,-1.69562451622749,-5.178452821950918,1.197025739631119
Argentina,2021-06-27,12.718162229048795,7.521030315910044,17.151859987126088,ARG,-3.514556354687845,-7.384001953101101,0.21753691871994,-1.942613152728656,-5.875099853239507,1.85028347534657
Argentina,2021-07-04,13.130691288080053,8.551242967333764,17.819394455838854,ARG,-2.937724756003814,-6.740719202449063,0.198988364216014,-2.404555933324959,-6.22844045334997,0.7493873377148796
Argentina,2021-07-11,15.0181887604161,10.267141245321977,20.103628421389395,ARG,0.8809819969491822,-3.183247926155329,4.14872857912937,1.435127201837405,-2.651427776781745,4.720823709399546
Argentina,2021-07-18,14.17632478314301,9.686536357932793,19.231894052740792,ARG,-0.4001852800769922,-3.323650673048816,2.336924062726625,0.1469223971308775,-2.79260176427385,2.899066843554077
Argentina,2021-07-25,11.096126290739942,5.728695278171555,16.482237069629125,ARG,-2.176809282338149,-5.616029629399129,0.7739739602583164,-1.639460705926621,-5.097572893908985,1.327531363667567
Argentina,2021-08-01,12.51303063422911,6.9988067272815195,17.62339035048207,ARG,-1.537962876247565,-5.648179257736789,2.705421337071464,-0.9971050787163982,-5.129899122057912,3.269588295236892
